postcode,message
BT209SL,No coordinates found for postcode
BT209SN,No coordinates found for postcode
BT209SP,No coordinates found for postcode
BT209SQ,No coordinates found for postcode
BT209SR,No coordinates found for postcode
BT209SS,No coordinates found for postcode
BT209ST,No coordinates found for postcode
BT209SU,No coordinates found for postcode
BT209SW,No coordinates found for postcode
BT209SX,No coordinates found for postcode
BT209SY,No coordinates found for postcode
BT209SZ,No coordinates found for postcode
BT209TA,No coordinates found for postcode
BT209TB,No coordinates found for postcode
BT209TD,No coordinates found for postcode
BT209TE,No coordinates found for postcode
BT209TF,No coordinates found for postcode
BT222AG,No coordinates found for postcode
BT222GX,No coordinates found for postcode
BT222JS,No coordinates found for postcode
BT234YL,No coordinates found for postcode
BT237FZ,No coordinates found for postcode
BT237GJ,No coordinates found for postcode
BT239AP,No coordinates found for postcode
BT239BX,No coordinates found for postcode
BT239BY,No coordinates found for postcode
BT239DR,No coordinates found for postcode
BT239DS,No coordinates found for postcode
BT239EJ,No coordinates found for postcode
BT239ES,No coordinates found for postcode
BT239EZ,No coordinates found for postcode
BT239FG,No coordinates found for postcode
BT239FJ,No coordinates found for postcode
BT239FR,No coordinates found for postcode
BT239FT,No coordinates found for postcode
BT239FW,No coordinates found for postcode
BT239SA,No coordinates found for postcode
BT239SB,No coordinates found for postcode
BT239SD,No coordinates found for postcode
BT239SE,No coordinates found for postcode
BT239SF,No coordinates found for postcode
BT239SG,No coordinates found for postcode
BT239SH,No coordinates found for postcode
BT239SJ,No coordinates found for postcode
BT239SL,No coordinates found for postcode
BT239SN,No coordinates found for postcode
BT239SP,No coordinates found for postcode
BT239SQ,No coordinates found for postcode
BT239SR,No coordinates found for postcode
BT239SS,No coordinates found for postcode
BT239ST,No coordinates found for postcode
BT239SU,No coordinates found for postcode
BT239SW,No coordinates found for postcode
BT239SX,No coordinates found for postcode
BT239SY,No coordinates found for postcode
BT239SZ,No coordinates found for postcode
BT239TA,No coordinates found for postcode
BT239TB,No coordinates found for postcode
BT239TD,No coordinates found for postcode
BT239ZZ,No coordinates found for postcode
BT275FW,No coordinates found for postcode
BT275SR,No coordinates found for postcode
BT275UX,No coordinates found for postcode
BT280AA,No coordinates found for postcode
BT280AB,No coordinates found for postcode
BT280AD,No coordinates found for postcode
BT280AE,No coordinates found for postcode
BT280AF,No coordinates found for postcode
BT280AG,No coordinates found for postcode
BT280AH,No coordinates found for postcode
BT280AJ,No coordinates found for postcode
BT280AL,No coordinates found for postcode
BT282RD,No coordinates found for postcode
BT289AB,No coordinates found for postcode
BT289AD,No coordinates found for postcode
BT289AY,No coordinates found for postcode
BT289DJ,No coordinates found for postcode
BT289EB,No coordinates found for postcode
BT289ED,No coordinates found for postcode
BT289EG,No coordinates found for postcode
BT289EH,No coordinates found for postcode
BT289EJ,No coordinates found for postcode
BT289EL,No coordinates found for postcode
BT289EN,No coordinates found for postcode
BT289EP,No coordinates found for postcode
BT289EQ,No coordinates found for postcode
BT289EZ,No coordinates found for postcode
BT289FB,No coordinates found for postcode
BT289FQ,No coordinates found for postcode
BT289FT,No coordinates found for postcode
BT289FU,No coordinates found for postcode
BT289FX,No coordinates found for postcode
BT289GA,No coordinates found for postcode
BT289GE,No coordinates found for postcode
BT289GH,No coordinates found for postcode
BT289SA,No coordinates found for postcode
BT289SB,No coordinates found for postcode
BT289SD,No coordinates found for postcode
BT289SE,No coordinates found for postcode
BT289SF,No coordinates found for postcode
BT289SG,No coordinates found for postcode
BT289SH,No coordinates found for postcode
BT289SJ,No coordinates found for postcode
BT289SL,No coordinates found for postcode
BT289SN,No coordinates found for postcode
BT289SP,No coordinates found for postcode
BT289SQ,No coordinates found for postcode
BT289SR,No coordinates found for postcode
BT289SS,No coordinates found for postcode
BT289ST,No coordinates found for postcode
BT289SU,No coordinates found for postcode
BT289SW,No coordinates found for postcode
BT289SX,No coordinates found for postcode
BT289SY,No coordinates found for postcode
BT289SZ,No coordinates found for postcode
BT289TA,No coordinates found for postcode
BT289TB,No coordinates found for postcode
BT289TD,No coordinates found for postcode
BT289TE,No coordinates found for postcode
BT289TF,No coordinates found for postcode
BT289TG,No coordinates found for postcode
BT289TH,No coordinates found for postcode
BT289TJ,No coordinates found for postcode
BT289TL,No coordinates found for postcode
BT289TN,No coordinates found for postcode
BT294BG,No coordinates found for postcode
BT300AX,No coordinates found for postcode
BT300BF,No coordinates found for postcode
BT300SA,No coordinates found for postcode
BT300SB,No coordinates found for postcode
BT300SD,No coordinates found for postcode
BT300SE,No coordinates found for postcode
BT300SF,No coordinates found for postcode
BT300SG,No coordinates found for postcode
BT300SH,No coordinates found for postcode
BT300SL,No coordinates found for postcode
BT300SN,No coordinates found for postcode
BT300SP,No coordinates found for postcode
BT300SQ,No coordinates found for postcode
BT300SR,No coordinates found for postcode
BT300SS,No coordinates found for postcode
BT300ST,No coordinates found for postcode
BT300SU,No coordinates found for postcode
BT300SW,No coordinates found for postcode
BT300SX,No coordinates found for postcode
BT300SY,No coordinates found for postcode
BT300SZ,No coordinates found for postcode
BT300TA,No coordinates found for postcode
BT300TB,No coordinates found for postcode
BT300TD,No coordinates found for postcode
BT307DW,No coordinates found for postcode
BT323ET,No coordinates found for postcode
BT323ZG,No coordinates found for postcode
BT329AQ,No coordinates found for postcode
BT329BA,No coordinates found for postcode
BT329BG,No coordinates found for postcode
BT329BN,No coordinates found for postcode
BT329BP,No coordinates found for postcode
BT329BQ,No coordinates found for postcode
BT329SA,No coordinates found for postcode
BT329SB,No coordinates found for postcode
BT329SD,No coordinates found for postcode
BT329SE,No coordinates found for postcode
BT329SF,No coordinates found for postcode
BT329SG,No coordinates found for postcode
BT329SH,No coordinates found for postcode
BT329SJ,No coordinates found for postcode
BT329SL,No coordinates found for postcode
BT329SN,No coordinates found for postcode
BT329SP,No coordinates found for postcode
BT329SQ,No coordinates found for postcode
BT329SR,No coordinates found for postcode
BT329SS,No coordinates found for postcode
BT329ST,No coordinates found for postcode
BT329SU,No coordinates found for postcode
BT329SW,No coordinates found for postcode
BT329ZZ,No coordinates found for postcode
BT330UN,No coordinates found for postcode
BT343YE,No coordinates found for postcode
